voltage [V],current [A],time [s]
-0.002730638,-9.999771e-06,0.0
-0.002730221,-9.949896e-06,0.141075
-0.002729148,-9.899873e-06,0.2821337
-0.002729177,-9.849793e-06,0.4231777
-0.00272876,-9.799767e-06,0.564207
-0.002728283,-9.749914e-06,0.7052902
-0.002727866,-9.699892e-06,0.8463525
-0.002727598,-9.649813e-06,0.9873974
-0.002727628,-9.599768e-06,1.12846
-0.002727002,-9.549884e-06,1.269515
-0.002726823,-9.499834e-06,1.410555
-0.002726495,-9.449774e-06,1.551603
-0.002726495,-9.399926e-06,1.692644
-0.002726018,-9.349884e-06,1.833669
-0.002725333,-9.299842e-06,1.974727
-0.002725542,-9.249774e-06,2.115787
-0.002724737,-9.199917e-06,2.256838
-0.002725154,-9.149868e-06,2.397896
-0.002724499,-9.099822e-06,2.538941
-0.002724111,-9.049763e-06,2.679998
-0.002724022,-8.999923e-06,2.82105
-0.002723277,-8.949894e-06,2.962096
-0.002723128,-8.899842e-06,3.103137
-0.00272271,-8.849947e-06,3.244192
-0.002722561,-8.799889e-06,3.385255
-0.002722174,-8.749827e-06,3.52633
-0.002722144,-8.699786e-06,3.667391
-0.002721846,-8.649919e-06,3.808441
-0.002721429,-8.59988e-06,3.949509
-0.002720565,-8.549801e-06,4.090544
-0.002720624,-8.499766e-06,4.231584
-0.002720028,-8.449899e-06,4.372636
-0.00271973,-8.399853e-06,4.513672
-0.002719015,-8.349787e-06,4.654736
-0.002719343,-8.299759e-06,4.795806
-0.002718896,-8.249894e-06,4.936858
-0.0027183,-8.199866e-06,5.077902
-0.002717823,-8.149804e-06,5.218961
-0.002718359,-8.099945e-06,5.360011
-0.002717227,-8.04989e-06,5.501046
-0.002717406,-7.999826e-06,5.642093
-0.002716988,-7.949771e-06,5.783124
-0.00271669,-7.899918e-06,5.924152
-0.002716184,-7.849878e-06,6.065214
-0.002715558,-7.799796e-06,6.206272
-0.002715856,-7.749755e-06,6.347337
-0.002714723,-7.699889e-06,6.48839
-0.002714515,-7.649873e-06,6.629431
-0.002713919,-7.599798e-06,6.770488
-0.002713859,-7.549967e-06,6.911538
-0.002713859,-7.499912e-06,7.052571
-0.002713293,-7.44988e-06,7.193629
-0.002713203,-7.399814e-06,7.3347
-0.002712429,-7.349952e-06,7.475743
