voltage,current,time
7.271767e-06,-1.026201e-06,0.0
8.794665e-05,1.023686e-05,0.5421308
5.90086e-06,-3.261724e-06,1.084265
5.036592e-06,-4.30888e-06,1.626388
4.470348e-06,8.785515e-06,2.168525
8.72612e-05,2.066139e-06,2.710639
3.099442e-06,6.516813e-06,3.252741
1.66893e-06,3.830181e-06,3.794855
8.919835e-05,1.055433e-05,4.336968
8.553267e-05,3.934256e-06,4.879094
2.384186e-07,9.933719e-06,5.421222
8.824468e-05,8.71974e-06,5.963329
8.752942e-05,8.783187e-06,6.505436
8.678436e-05,5.898532e-06,7.047573
-2.890825e-06,3.47849e-06,7.589669
8.541346e-05,3.311085e-06,8.13178
8.296967e-05,8.309726e-06,8.673907
8.484721e-05,4.597823e-06,9.216021
8.380413e-05,5.159993e-06,9.758131
0.0001709461,4.915288e-06,10.30027
0.0001714528,5.013077e-06,10.84239
7.852912e-05,3.661378e-06,11.38452
8.285046e-05,3.51714e-06,11.92666
0.0001682639,5.966052e-06,12.46878
7.706881e-05,6.609131e-06,13.0109
8.070469e-05,7.973867e-06,13.55303
0.000164628,6.244169e-06,14.09516
0.0001690686,6.593415e-06,14.63727
0.0001618564,5.989103e-06,15.17939
0.0001639128,5.676411e-06,15.7215
0.0001657009,6.113434e-06,16.26362
0.0001604557,4.88793e-06,16.80573
0.0001655221,4.700269e-06,17.34785
0.0001664162,6.209477e-06,17.88997
0.0001661479,4.879199e-06,18.43207
0.0001647472,4.927628e-06,18.97422
0.0001615882,5.465816e-06,19.51634
0.0002523363,5.920418e-06,20.05846
0.0001600385,5.988055e-06,20.60058
0.0002539754,6.058835e-06,21.1427
0.0001625121,6.24056e-06,21.68483
0.0002517104,4.463247e-06,22.22693
0.000254035,4.423666e-06,22.76904
0.0002497435,5.850918e-06,23.31119
0.0002568662,5.401205e-06,23.8533
0.0002536774,5.549518e-06,24.39542
0.0002001226,5.565351e-06,24.93753
0.0002302527,5.340786e-06,25.47964
0.000249058,5.952315e-06,26.02174
0.000271976,5.660113e-06,26.56385
0.000328511,5.913666e-06,27.10599
0.0002515614,5.565118e-06,27.6481
0.0002531707,5.572569e-06,28.19022
0.000251621,5.385722e-06,28.73233
0.0003513992,5.862094e-06,29.27443
0.000251323,5.108654e-06,29.81656
0.0002504885,5.971175e-06,30.35869
0.0003492236,6.002956e-06,30.90084
0.0003455579,5.397014e-06,31.44297
0.0002804101,6.440445e-06,31.98507
0.0003462434,5.427632e-06,32.52721
0.0003510118,5.120062e-06,33.06934
0.0003463626,5.410868e-06,33.61146
0.0003445148,5.349866e-06,34.15359
0.0003359616,6.023562e-06,34.69569
0.000351429,5.525537e-06,35.2378
0.0003428757,5.58421e-06,35.77992
0.0003427565,5.606096e-06,36.32202
0.0003474057,5.755457e-06,36.86413
0.0003466606,5.555223e-06,37.40627
0.0003440976,5.679205e-06,37.94838
0.0003513098,5.400274e-06,38.49049
0.0003452897,5.542068e-06,39.03261
0.0004140437,5.599461e-06,39.57472
0.0003406405,5.407841e-06,40.11685
0.0003435016,5.297596e-06,40.65895
0.0003485084,5.829264e-06,41.20107
0.0004492104,5.853362e-06,41.74321
0.0004444718,5.658483e-06,42.28533
0.0004453361,5.731825e-06,42.82745
0.0003526509,6.301561e-06,43.36958
0.00044927,5.358015e-06,43.91171
0.0004500747,5.278271e-06,44.45383
0.0004561245,5.414942e-06,44.99594
0.0004530549,5.795737e-06,45.53806
0.0004523695,5.970476e-06,46.0802
0.000442028,5.878857e-06,46.6223
0.0004559755,5.867798e-06,47.16443
0.0004534423,5.605631e-06,47.70655
0.0004693866,5.758833e-06,48.24866
0.0004560351,5.938578e-06,48.79076
0.0004517734,5.884911e-06,49.3329
0.0004564524,5.678972e-06,49.87504
0.0004597604,5.826121e-06,50.41716
0.0004533231,5.529844e-06,50.95927
0.0005573034,5.881768e-06,51.50138
0.0005452037,5.732407e-06,52.04349
0.0004576147,6.285263e-06,52.5856
0.0004595816,5.960232e-06,53.12772
0.0005497932,5.936483e-06,53.66983
0.0004723668,6.288523e-06,54.21193
0.0005524755,5.592592e-06,54.75405
0.0005203187,5.81448e-06,55.29618
0.0004856288,6.093294e-06,55.83831
0.0005576313,5.650101e-06,56.38044
0.0005693138,5.748705e-06,56.92255
0.0004807115,5.847192e-06,57.46466
0.0005690753,5.509472e-06,58.00678
0.0005690753,5.575363e-06,58.5489
0.0005686879,5.932525e-06,59.09102
0.0005375743,5.661277e-06,59.63314
0.0005685091,5.809823e-06,60.17526
0.0005765855,5.903654e-06,60.71739
0.000572294,5.872804e-06,61.2595
0.0005726218,5.883165e-06,61.80162
0.0005900562,6.003538e-06,62.34373
0.0006382465,5.955808e-06,62.88585
0.0005743802,5.669659e-06,63.42796
0.0005789399,5.443231e-06,63.9701
0.0005809367,6.151735e-06,64.51222
0.0005755126,5.648239e-06,65.05433
0.0005810857,6.20319e-06,65.59643
0.0005812645,6.255927e-06,66.13855
0.0005895793,6.308546e-06,66.68066
0.0006117523,6.162678e-06,67.22278
0.0006840229,5.553942e-06,67.76491
0.0006459653,5.645212e-06,68.30704
0.000682354,5.748705e-06,68.84916
0.0006627738,5.736831e-06,69.39128
0.0006200969,6.084098e-06,69.93339
0.0006878078,5.956506e-06,70.47553
0.0006072521,6.307731e-06,71.01764
0.0006886423,5.731243e-06,71.55978
0.0007013977,5.860813e-06,72.1019
0.0006797612,6.264658e-06,72.64402
0.0006164908,6.053364e-06,73.18614
0.0006984472,5.948124e-06,73.72827
0.0007107258,5.873153e-06,74.27037
0.0007006824,5.875481e-06,74.81249
0.0007123649,5.968264e-06,75.35461
0.0006809235,5.925074e-06,75.89673
0.0007205009,5.690847e-06,76.43884
0.0007195473,5.920534e-06,76.98095
0.0007172525,5.945796e-06,77.52307
0.0007434487,6.043119e-06,78.06519
0.000721693,5.996553e-06,78.6073
0.0007525384,6.127055e-06,79.14942
0.0007839799,6.088638e-06,79.69154
0.0007187128,6.060698e-06,80.23368
0.0007230341,6.127637e-06,80.7758
0.0007165968,5.759764e-06,81.3179
0.0007294416,5.790382e-06,81.86002
0.0008405149,5.882001e-06,82.40215
0.0007902086,5.631708e-06,82.94426
0.0007519424,6.272458e-06,83.48639
0.0007438958,5.923677e-06,84.0285
0.0007368028,6.373157e-06,84.57063
0.0008268654,5.675945e-06,85.11276
0.000854075,5.64754e-06,85.65486
0.0007804632,6.148242e-06,86.19701
0.000777483,5.980022e-06,86.73911
0.0007912517,6.145914e-06,87.28123
0.0008624494,5.787588e-06,87.82333
0.0007973611,6.069196e-06,88.36544
0.000767976,6.251619e-06,88.90756
0.0008544922,6.076531e-06,89.44969
0.0008040965,6.361399e-06,89.99182
0.0007793903,6.125076e-06,90.53393
0.0008670688,6.188988e-06,91.07605
0.0008788109,6.103306e-06,91.61819
0.0008745193,6.048358e-06,92.16031
0.0008326173,6.190152e-06,92.70241
0.0008804202,6.066984e-06,93.24452
0.0008871555,6.030547e-06,93.78663
0.0008524358,5.924259e-06,94.32876
0.0008883178,5.994341e-06,94.87088
0.0008906424,6.046845e-06,95.413
0.0008717179,6.006449e-06,95.9551
0.0008886755,6.087357e-06,96.49721
0.0009016991,6.026239e-06,97.03933
0.0009025335,6.062794e-06,97.58144
0.0009235442,6.042421e-06,98.12355
0.0009096265,5.977461e-06,98.66567
0.0009559393,6.008893e-06,99.20778
0.0009689927,6.139395e-06,99.74988
0.0009323955,8.316711e-07,100.292
0.0009373426,8.319039e-07,100.8341
0.000942111,8.328352e-07,101.3763
0.0009474754,8.329516e-07,101.9184
0.000952214,8.333009e-07,102.4605
0.000957191,8.335337e-07,103.0026
0.0009624064,8.337665e-07,103.5447
0.0009672344,8.342322e-07,104.0869
0.0009722412,8.34465e-07,104.629
0.0009770095,8.353963e-07,105.1711
0.0009820461,8.353963e-07,105.7133
