voltage,current,time
1.451373e-05,-5.238689e-09,0.0
1.484156e-05,1.591397e-07,0.5421202
1.91927e-05,-2.423767e-07,1.084249
1.7941e-05,4.741596e-07,1.626347
3.519654e-05,2.926681e-07,2.168457
3.603101e-05,3.091991e-07,2.710565
4.047155e-05,2.719462e-07,3.252696
4.532933e-05,5.536713e-07,3.794824
4.61638e-05,7.881317e-08,4.336933
4.741549e-05,1.028879e-06,4.879052
6.02901e-05,3.896421e-07,5.421169
7.030368e-05,7.943017e-07,5.963281
6.780028e-05,7.372582e-07,6.505424
7.775426e-05,8.085044e-07,7.047551
7.990003e-05,8.594943e-07,7.589668
8.434057e-05,8.628704e-07,8.13179
9.408593e-05,8.078059e-07,8.673904
9.003282e-05,8.260831e-07,9.216027
9.852648e-05,8.40635e-07,9.758151
9.87947e-05,8.560019e-07,10.30027
0.0001009405,8.422649e-07,10.8424
0.0001129508,8.112984e-07,11.38455
0.0001256168,7.956987e-07,11.92666
0.0001324117,7.193303e-07,12.46878
0.0001290441,8.14558e-07,13.01089
0.0001383424,7.684575e-07,13.553
0.0001376569,8.194475e-07,14.09512
0.0001443326,4.876638e-07,14.63723
0.000149101,4.939502e-07,15.17934
0.0001540184,5.025649e-07,15.72144
0.0001593232,5.114125e-07,16.26355
0.000163883,5.179318e-07,16.80565
0.000169158,5.245674e-07,17.34777
0.0001740158,5.303882e-07,17.88989
0.0001789927,5.355105e-07,18.43201
0.0001841486,5.410984e-07,18.97413
0.0001888871,5.452894e-07,19.51626
0.0001940727,5.504116e-07,20.05838
0.0001992881,5.550683e-07,20.60051
0.0002040863,5.585607e-07,21.14262
0.0002091527,5.629845e-07,21.68472
0.0002141595,5.671754e-07,22.22684
0.0002189875,5.706679e-07,22.76897
0.0002242029,5.752081e-07,23.31108
0.0002289712,5.785841e-07,23.8532
0.0002340674,5.82193e-07,24.39531
0.0002392232,5.860347e-07,24.93745
0.00024423,5.895272e-07,25.47958
0.0002491772,5.934853e-07,26.02171
0.0002544522,5.979091e-07,26.56383
0.00025931,6.008195e-07,27.10595
0.0002641082,6.046612e-07,27.64805
0.0002689362,6.088521e-07,28.19017
0.0002740622,6.118789e-07,28.73231
0.0002793372,6.158371e-07,29.27442
0.0002838373,6.196788e-07,29.81652
0.0002890527,6.230548e-07,30.35864
0.0002940297,6.26198e-07,30.90075
0.0002990365,6.298069e-07,31.44287
0.0003041029,6.343471e-07,31.985
0.0003092587,6.370246e-07,32.52709
0.000313729,6.405171e-07,33.06922
0.0003186762,6.435439e-07,33.61132
0.000323683,6.468035e-07,34.15343
0.0003286302,6.500632e-07,34.69554
0.000333637,6.533228e-07,35.23766
0.0003384948,6.568152e-07,35.77979
0.0003437102,6.596092e-07,36.32191
0.0003485084,6.628688e-07,36.86403
0.000353545,6.660121e-07,37.40614
0.0003584623,6.682239e-07,37.94828
0.0003637373,6.718328e-07,38.49039
0.0003687739,6.74394e-07,39.03251
0.0003735125,6.770715e-07,39.57463
0.0003786981,6.796326e-07,40.11674
0.0003837347,6.827759e-07,40.65885
0.0003882945,6.852206e-07,41.20096
0.0003934801,6.878981e-07,41.74308
0.0003984272,6.904593e-07,42.2852
0.0004037619,6.933697e-07,42.82734
0.0004086494,6.960472e-07,43.36945
0.0004135966,6.982591e-07,43.91157
0.000418663,7.009367e-07,44.45369
0.0004236996,7.029157e-07,44.9958
0.0004286468,7.053604e-07,45.53793
0.0004337132,7.075723e-07,46.08003
0.0004387796,7.093186e-07,46.62212
0.0004436374,7.116469e-07,47.16423
0.000448674,7.137423e-07,47.70634
0.0004534721,7.163035e-07,48.24846
0.0004588068,7.181661e-07,48.79058
0.0004634261,7.204944e-07,49.33271
0.0004684925,7.216586e-07,49.87483
0.0004736483,7.242197e-07,50.41694
0.0004786253,7.260824e-07,50.95904
0.0004836321,7.27945e-07,51.50117
0.0004887879,7.300405e-07,52.04329
0.0004933774,7.314375e-07,52.58541
0.0004985929,7.339986e-07,53.12753
0.0005037487,7.352792e-07,53.66965
0.000508219,7.372582e-07,54.21176
0.0005133152,7.391209e-07,54.75387
0.0005180538,7.401686e-07,55.29598
0.0005231202,7.423805e-07,55.83809
0.0005277097,7.433118e-07,56.38024
0.0005331337,7.455237e-07,56.92236
0.0005382895,7.468043e-07,57.46449
0.0005432367,7.486669e-07,58.00662
0.0005482137,7.495983e-07,58.54873
0.0005533099,7.508788e-07,59.09084
0.0005579889,7.525086e-07,59.63296
0.0005631745,7.54022e-07,60.17506
0.0005683005,7.55419e-07,60.71717
