voltage,current,time
-5.817413e-05,1.75655e-05,0.0
-5.346537e-05,2.014094e-05,0.0015329
-4.398823e-05,2.029046e-05,0.00306546
-2.980232e-05,2.043939e-05,0.00458886
-4.976988e-06,2.059006e-05,0.0060979
1.15633e-05,2.0739e-05,0.00760392
4.938245e-05,2.08885e-05,0.00910944
6.002188e-05,2.103917e-05,0.01061946
7.539988e-05,2.118986e-05,0.01211312
4.702806e-05,2.134228e-05,0.01363382
3.165007e-05,2.149004e-05,0.01513014
9.23872e-07,2.16413e-05,0.016635
-3.454089e-05,2.178964e-05,0.01814976
-5.581975e-05,2.194148e-05,0.0196511
-5.462766e-05,2.209158e-05,0.02114984
-6.172061e-05,2.224167e-05,0.0226635
-3.218651e-05,2.239351e-05,0.0241873
-4.976988e-06,2.254186e-05,0.0256998
9.23872e-07,2.269195e-05,0.0272048
5.057454e-05,2.284147e-05,0.0286968
6.121397e-05,2.299272e-05,0.03019626
6.356835e-05,2.314048e-05,0.03169962
5.057454e-05,2.329292e-05,0.03321498
3.403425e-05,2.344417e-05,0.03470742
2.929568e-05,2.359251e-05,0.03620216
-4.976988e-06,2.37432e-05,0.0377077
-4.282594e-05,2.38927e-05,0.03921554
-4.991889e-05,2.404279e-05,0.04071196
-5.581975e-05,2.419173e-05,0.04222088
-3.573298e-05,2.434124e-05,0.04373378
-1.916289e-05,2.449309e-05,0.0452293
-4.976988e-06,2.464376e-05,0.0467325
4.938245e-05,2.47921e-05,0.04823288
5.766749e-05,2.494337e-05,0.04972138
8.484721e-05,2.509171e-05,0.05120838
7.894635e-05,2.52418e-05,0.05271124
4.822016e-05,2.539365e-05,0.0542164
1.746416e-05,2.55449e-05,0.05572946
2.574921e-05,2.569266e-05,0.05724002
-2.980232e-05,2.584567e-05,0.05875812
-4.044175e-05,2.599285e-05,0.060275
-5.227327e-05,2.61441e-05,0.06179066
-3.927946e-05,2.629362e-05,0.06333064
-2.154708e-05,2.644429e-05,0.06485448
5.662441e-06,2.659323e-05,0.06637434
3.638864e-05,2.674332e-05,0.06789392
5.766749e-05,2.689341e-05,0.06940326
7.304549e-05,2.704409e-05,0.07090956
8.368492e-05,2.719302e-05,0.07242644
5.057454e-05,2.734369e-05,0.0739507
2.455711e-05,2.749437e-05,0.07548154
2.115965e-06,2.76433e-05,0.07699348
-3.573298e-05,2.779572e-05,0.07851614
-5.701184e-05,2.794465e-05,0.08004108
-5.227327e-05,2.809591e-05,0.08156408
-4.163384e-05,2.824368e-05,0.08312084
-1.561642e-05,2.839493e-05,0.0846535
1.15633e-05,2.854502e-05,0.08617298
2.220273e-05,2.869338e-05,0.08769222
5.885959e-05,2.88458e-05,0.0891997
6.595254e-05,2.899472e-05,0.09071434
7.775426e-05,2.914599e-05,0.09223046
5.057454e-05,2.929317e-05,0.09375592
2.574921e-05,2.944558e-05,0.09526524
9.23872e-07,2.959277e-05,0.09677516
-4.75347e-05,2.974519e-05,0.09830618
-4.87268e-05,2.989528e-05,0.09982626
-4.87268e-05,3.004538e-05,0.1013379
-5.346537e-05,3.019605e-05,0.1028634
-2.980232e-05,3.034557e-05,0.1043882
9.208918e-06,3.049508e-05,0.1058968
1.15633e-05,3.064459e-05,0.107414
4.22895e-05,3.079527e-05,0.108932
6.711483e-05,3.094536e-05,0.1104355
6.711483e-05,3.109603e-05,0.1119394
5.766749e-05,3.12473e-05,0.1134669
3.048778e-05,3.139448e-05,0.1149822
1.984835e-05,3.154515e-05,0.1164965
-2.980232e-05,3.169409e-05,0.1180069
-5.817413e-05,3.184534e-05,0.1195305
-6.055832e-05,3.199544e-05,0.1210407
-6.881356e-05,3.214495e-05,0.1225595
-3.808737e-05,3.229504e-05,0.1240852
-9.715557e-06,3.244572e-05,0.1256126
3.278255e-06,3.259639e-05,0.127129
4.702806e-05,3.274415e-05,0.1286501
7.066131e-05,3.289484e-05,0.13016
7.18534e-05,3.304493e-05,0.131676
4.348159e-05,3.319734e-05,0.1331955
3.638864e-05,3.334745e-05,0.134707
1.391768e-05,3.349695e-05,0.1362201
-1.916289e-05,3.364646e-05,0.137736
-3.218651e-05,3.379656e-05,0.1392536
-6.29127e-05,3.394607e-05,0.1407635
-5.817413e-05,3.409384e-05,0.1422761
-4.637241e-05,3.424742e-05,0.1438016
-3.814697e-06,3.439635e-05,0.1453147
1.275539e-05,3.454703e-05,0.1468183
5.64754e-05,3.469654e-05,0.1483277
6.830692e-05,3.48443e-05,0.1498371
6.476045e-05,3.499382e-05,0.1513358
